Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating,HighSatisfaction
34,0,138842,3,162.95492877688537,2,1,8,2,0,1,0,1,4.228618028577989,1,5,3,1
54,1,98671,2,66.9188731715312,2,2,4,1,1,0,0,0,50.24718569753183,1,2,2,0
47,1,122351,1,94.1276704628134,2,2,7,1,1,0,1,0,10.174872817477358,3,3,5,0
38,1,78868,3,92.70556798390324,4,1,4,0,1,0,0,1,14.2377460032735,4,1,4,0
50,0,128686,1,166.93114393903252,0,1,8,0,0,0,0,0,56.319628487565474,4,3,4,0
69,0,44257,3,12.442555685310968,0,0,7,0,1,0,0,0,58.83851735010148,1,2,1,0
45,1,71243,3,58.18597236635927,4,0,7,0,1,0,0,1,2.701948017053601,3,1,4,0
43,1,32863,1,181.2632909578462,1,1,5,0,1,0,1,1,50.81000251264156,3,4,1,0
42,0,143716,0,115.47240941873044,3,2,7,0,1,0,0,1,7.662920399563234,1,3,4,0
25,1,83210,3,41.609206649371984,1,1,6,2,1,0,0,1,32.32850033733179,4,3,3,0
43,0,22176,0,118.4198193756179,3,0,1,2,0,0,1,1,13.986396411894034,3,5,3,1
41,1,21188,3,40.30039916578299,1,1,5,1,0,0,0,1,26.71199980599432,4,1,5,0
65,0,115678,1,106.23404431167458,0,2,6,1,1,0,1,1,37.82000571825486,2,2,2,0
62,1,135684,3,128.94310105875724,3,2,6,0,1,1,1,1,24.09705188821825,3,1,5,1
39,1,142877,3,70.03662945522211,2,0,8,2,1,0,0,0,8.203665735517909,2,5,4,0
52,0,41612,3,73.87853212315915,2,0,1,0,1,0,1,0,31.007445465644107,2,5,2,0
32,0,54527,3,194.8845103751251,4,1,9,0,0,1,1,1,43.19960750266653,5,2,4,1
31,0,71921,2,87.81443523716717,4,0,6,2,1,1,0,0,48.31864019372804,5,2,4,1
23,0,99317,2,80.80880669366418,1,0,3,2,0,1,0,1,0.7490891523254795,1,1,2,1
60,1,93622,3,128.90259243541826,2,1,8,0,1,0,0,0,35.198698786477536,2,4,4,0
63,1,136199,3,174.77001229160354,3,1,6,1,1,0,0,1,26.337337634742223,3,5,4,0
55,1,44155,0,89.69675886611779,3,1,4,0,0,1,1,1,18.51509266698789,3,2,5,1
56,1,128066,2,161.58195312492498,0,0,9,2,1,0,0,1,44.84386248006663,1,1,1,0
59,0,66969,3,104.79813645627075,4,2,3,1,0,0,0,1,46.85168323676472,5,5,5,1
22,1,72653,3,27.999196600588185,4,1,7,2,1,0,0,1,5.323964716167165,1,2,3,0
52,1,146559,1,120.3530615844241,3,2,5,0,1,0,1,0,22.784604482019223,3,3,2,0
47,1,31938,3,43.849076099752345,3,2,3,0,1,1,1,0,59.7074067773838,2,4,5,1
